a,x,y,rank,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50
0,0.0,0.0,10,10,10,10,8,10,10,10,10,10,10,8,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,8,10,10,10,9,10,10,10,10,9,8,10,10,10,10
1,1.0,1.0,1,4,1,2,1,1,1,5,7,3,3,5,1,4,6,1,1,2,6,3,4,3,2,1,1,1,1,3,3,3,6,3,3,4,1,2,1,2,3,2,1,5,2,1,1,2,2,3,2,2,2
0,0.6768562022378589,0.21177098828480356,9,7,6,7,7,9,9,7,6,9,7,10,7,7,8,7,8,3,7,8,6,9,8,7,5,7,3,8,9,8,5,6,5,9,7,8,9,8,8,9,10,8,6,5,9,7,7,8,9,7,6
1,0.6870850954731433,0.4421683028915955,7,2,5,3,5,6,2,8,4,6,1,2,5,2,1,5,4,5,3,9,5,1,4,2,6,5,5,6,6,4,3,7,7,8,4,4,5,4,2,7,8,3,5,2,4,6,3,4,5,6,7
1,0.7412527474255124,0.9252687380956675,4,5,7,1,4,3,4,1,5,1,6,3,8,6,2,3,3,1,2,2,3,4,1,4,3,3,6,2,2,2,4,4,4,1,2,5,3,5,5,3,4,2,7,3,6,5,5,2,3,8,5
0,0.46637720481934936,0.47673283150202933,6,8,9,9,10,8,8,9,8,8,8,6,6,8,9,9,9,7,9,7,7,6,9,8,9,8,8,7,7,9,8,9,9,6,10,9,10,9,7,8,6,9,8,8,7,8,10,7,7,9,8
1,0.733612491272911,0.6706430818384964,5,1,2,5,6,5,5,4,1,4,4,7,4,3,5,4,2,9,4,4,2,8,3,6,2,4,4,4,5,1,2,2,1,3,5,6,2,6,6,5,2,4,3,4,2,4,1,6,1,3,4
1,0.7793565574665441,0.9786169645911089,2,3,4,4,3,4,6,3,2,5,2,1,3,5,3,6,6,4,5,5,8,5,6,3,7,6,7,5,1,5,7,1,6,2,6,1,6,3,4,1,3,6,1,6,3,1,4,1,6,4,1
1,0.8632997091246125,0.9625675142486013,3,6,3,8,2,2,3,2,3,2,5,4,2,1,4,2,5,6,1,1,1,2,5,5,4,2,2,1,4,6,1,5,2,5,3,3,4,1,1,6,5,1,4,7,5,3,6,5,4,1,3
0,0.5703246979060557,0.313447401328614,8,9,8,6,9,7,7,6,9,7,9,9,9,9,7,8,7,8,10,6,9,7,7,9,8,9,9,9,8,7,9,8,8,7,8,7,7,7,9,4,7,7,9,9,8,10,9,9,8,5,9
